0,1,2,3,4,5,8,9,Sheet,Month,Year
2025-10-02 00:00:00,Thursday,,,,,,,October  2025,October,2025
2025-10-03 00:00:00,Friday,08:08:00,17:08:00,08:59:00,17:16:00,08:28:00,17:14:00,October  2025,October,2025
2025-10-04 00:00:00,Saturday,,,,,,,October  2025,October,2025
2025-10-05 00:00:00,Sunday,,,,,,,October  2025,October,2025
2025-10-06 00:00:00,Monday,08:09:00,17:10:00,09:13:00,17:28:00,08:31:00,17:15:00,October  2025,October,2025
2025-10-07 00:00:00,Tuesday,08:10:00,19:32:00,08:06:00,17:25:00,08:27:00,17:39:00,October  2025,October,2025
2025-10-08 00:00:00,Wednesday,08:06:00,17:14:00,07:52:00,17:27:00,08:30:00,17:20:00,October  2025,October,2025
2025-10-09 00:00:00,Thursday,08:06:00,17:08:00,08:40:00,17:12:00,08:27:00,17:19:00,October  2025,October,2025
2025-10-10 00:00:00,Friday,08:09:00,17:05:00,08:25:00,17:15:00,,,October  2025,October,2025
2025-10-11 00:00:00,Saturday,,,,,,,October  2025,October,2025
2025-10-12 00:00:00,Sunday,,,,,,,October  2025,October,2025
2025-10-13 00:00:00,Monday,08:12:00,17:07:00,,,08:40:00,17:14:00,October  2025,October,2025
2025-10-14 00:00:00,Tuesday,08:15:00,17:07:00,08:46:00,17:08:00,08:52:00,17:17:00,October  2025,October,2025
2025-10-15 00:00:00,Wednesday,08:06:00,17:17:00,09:39:00,17:22:00,08:30:00,17:22:00,October  2025,October,2025
2025-10-16 00:00:00,Thursday,08:07:00,17:11:00,08:49:00,17:27:00,08:29:00,17:28:00,October  2025,October,2025
2025-10-17 00:00:00,Friday,08:11:00,17:05:00,09:35:00,17:15:00,08:25:00,17:15:00,October  2025,October,2025
2025-10-18 00:00:00,Saturday,,,,,,,October  2025,October,2025
2025-10-19 00:00:00,Sunday,,,,,,,October  2025,October,2025
2025-10-20 00:00:00,Monday,08:01:00,17:05:00,09:39:00,17:13:00,08:33:00,17:13:00,October  2025,October,2025
2025-10-21 00:00:00,Tuesday,08:05:00,17:10:00,,,08:38:00,17:15:00,October  2025,October,2025
2025-10-22 00:00:00,Wednesday,08:03:00,17:10:00,08:42:00,17:10:00,08:34:00,17:10:00,October  2025,October,2025
2025-10-23 00:00:00,Thursday,08:06:00,17:10:00,08:53:00,17:05:00,,,October  2025,October,2025
